Saving Bitmap 1 to File "graphics.aaf", Asset Size: 25598, Total Size: 25598
Saving Bitmap 2 to File "graphics.aaf", Asset Size: 25646, Total Size: 51244
Saving Bitmap 3 to File "graphics.aaf", Asset Size: 33550, Total Size: 84794
Saving Bitmap 4 to File "graphics.aaf", Asset Size: 33086, Total Size: 117880
Saving Bitmap 5 to File "graphics.aaf", Asset Size: 27614, Total Size: 145494
Saving Bitmap 6 to File "graphics.aaf", Asset Size: 11962, Total Size: 157456
Saving Glyph ! of Hyperspace to File "fonts.aaf", Asset Size: 3050, Total Size: 3050
Saving Glyph " of Hyperspace to File "fonts.aaf", Asset Size: 2238, Total Size: 5288
Saving Glyph # of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 24606
Saving Glyph $ of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 43924
Saving Glyph % of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 63242
Saving Glyph & of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 82560
Saving Glyph ' of Hyperspace to File "fonts.aaf", Asset Size: 830, Total Size: 83390
Saving Glyph ( of Hyperspace to File "fonts.aaf", Asset Size: 11350, Total Size: 94740
Saving Glyph ) of Hyperspace to File "fonts.aaf", Asset Size: 11350, Total Size: 106090
Saving Glyph * of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 125408
Saving Glyph + of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 144726
Saving Glyph , of Hyperspace to File "fonts.aaf", Asset Size: 878, Total Size: 145604
Saving Glyph - of Hyperspace to File "fonts.aaf", Asset Size: 2150, Total Size: 147754
Saving Glyph . of Hyperspace to File "fonts.aaf", Asset Size: 494, Total Size: 148248
Saving Glyph / of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 167566
Saving Glyph 0 of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 186884
Saving Glyph 1 of Hyperspace to File "fonts.aaf", Asset Size: 3050, Total Size: 189934
Saving Glyph 2 of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 209252
Saving Glyph 3 of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 228570
Saving Glyph 4 of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 247888
Saving Glyph 5 of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 267206
Saving Glyph 6 of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 286524
Saving Glyph 7 of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 305842
Saving Glyph 8 of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 325160
Saving Glyph 9 of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 344478
Saving Glyph : of Hyperspace to File "fonts.aaf", Asset Size: 1754, Total Size: 346232
Saving Glyph ; of Hyperspace to File "fonts.aaf", Asset Size: 2558, Total Size: 348790
Saving Glyph < of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 368108
Saving Glyph = of Hyperspace to File "fonts.aaf", Asset Size: 7950, Total Size: 376058
Saving Glyph > of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 395376
Saving Glyph ? of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 414694
Saving Glyph @ of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 434012
Saving Glyph A of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 453330
Saving Glyph B of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 472648
Saving Glyph C of Hyperspace to File "fonts.aaf", Asset Size: 19318, Total Size: 491966
